ngram,freq
of the,1746034516
in the,1126073086
to the,691479125
on the,478338333
and the,458356999
to be,339823365
for the,331497583
at the,297072876
from the,292096750
with the,280004707
of a,272341796
in a,262673315
it is,260532198
by the,245114457
it was,242819588
that the,239267624
as a,210009592
do not,208238506
did not,189707027
is a,173172313
with a,172195772
he was,165151440
is the,158684175
as the,155900784
for a,148472592
can be,137795460
the same,136452775
is not,129706294
into the,129091280
to a,128884425
was a,126807445
glad to,3246037
in writing,3245618
my son,3245283
it again,3244909
he started,3244729
additional information,3244229
all her,3242107
mean to,3241494
expansion of,3241013
it not,3240551
way out,3237739
person to,3237735
views of,3237091
time as,3236902
how are,3236397
the victim,3235900
not allow,3235801
a baby,3235623
place and,3234929
into this,3234905
herself to,3234501
she must,3234039
here for,3233192
the output,3232671
extension of,3231627
home in,3230697
of health,3230358
especially when,3230205
rid of,3229691
knew she,3226996
the changes,3225790
returning to,3225764
him into,3223674
produce a,3222867
themselves to,3221913
right in,3218727
a lack,3218714
place the,3218342
protect the,3217536
her legs,3217182
is by,3217180
until you,3217143
black and,3216935
failure of,3216586
wife and,3215530
a glass,3215248
the General,3215190
thing I,3214009
this area,3212843
of certain,3212502
be treated,3212245
from behind,3211920
